objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237650760245968996,18.31716,16.31381,15.40389,14.98723,14.67766,186.566833461717,-3.73067970175484,6755674587430928,31,0.709999978542328,0,0,0.0320000015199184,0,0.257999986410141
1237650760246493260,17.84431,17.08278,16.87292,16.83406,16.81055,187.851097359163,-3.66830035731775,4503874773745680,56,0.0540000014007092,0,0.321000009775162,0.125,0.160999998450279,0.33899998664856
1237650760246886513,18.89039,17.62622,17.12943,16.82367,16.60873,188.691423169056,-3.57042227007928,6755674587430928,39,0.204999998211861,0.0509999990463257,0.384999990463257,0.358999997377396,0,0
1237650760246886595,18.28863,16.38428,15.48003,15.00885,14.64991,188.786357468278,-3.58851796710645,4503874773880848,59,0.321999996900558,0.017000000923872,0.034000001847744,0.474999994039536,0.017000000923872,0.136000007390976
1237650760249639056,18.76724,17.68823,17.28864,17.00747,16.8472,195.02092935021,-3.68141552908552,4503874773745664,66,0.591000020503998,0.0759999975562096,0.0610000006854534,0.211999997496605,0.0610000006854534,0
1237650760776351785,17.98635,16.42862,15.61475,15.21437,14.89214,171.795386092817,-3.20597622689374,6773266773606416,20,0.100000001490116,0.0500000007450581,0.800000011920929,0,0.0500000007450581,0
1237650760778383458,18.47082,16.58727,15.68029,15.27645,14.93241,176.396405045459,-3.29721289053093,6755674587566096,26,0.922999978065491,0,0.0379999987781048,0,0.0379999987781048,0
1237650760779038732,18.36593,16.36105,15.44408,14.96925,14.66325,177.862325685912,-3.28931534494081,6755674587430928,36,0.777999997138977,0,0.0829999968409538,0.0829999968409538,0.0280000008642673,0.0280000008642673
1237650760779235456,17.36005,16.61634,16.38955,16.3576,16.40323,178.369386625046,-3.22975965864347,6755674587430928,34,0.324000000953674,0.028999999165535,0.028999999165535,0.352999985218048,0.146999999880791,0.118000000715256
1237650760779235506,18.57822,17.76159,17.45269,17.30594,17.40668,178.451239844001,-3.21853247738927,6755674587562000,30,0.266999989748001,0.0329999998211861,0.0670000016689301,0.333000004291534,0.166999995708466,0.133000001311302
1237650760782119112,18.48043,16.604,15.68867,15.2892,14.95392,185.054717693859,-3.27711957279455,6755674587566096,15,0.666999995708466,0,0.266999989748001,0.0670000016689301,0,0
1237648722819547482,18.00207,17.07367,16.74006,16.5665,16.40402,130.187274017725,1.09928110219434,6755674587430928,23,0.0869999974966049,0.0430000014603138,0.303999990224838,0.261000007390976,0.261000007390976,0.0430000014603138
1237648722819613145,18.97124,17.11292,16.21434,15.80017,15.44912,130.412337622843,1.11661374150173,6755674587562000,61,0.787000000476837,0.0659999996423721,0,0.0820000022649765,0.0489999987185001,0.0160000007599592
